job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,0
Engineer  data,0
Engineer  site reliability,100127
Developer  full-stack,29082
 Developer  back-end,0
Developer  desktop or enterprise applications,0
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,143040
Database administrator,0
Academic researcher,0
DevOps specialist,100127
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,100127
Data or business analyst,0
Designer,0
Scientist,0
Product manager,143040
Senior Executive,143040
System administrator,143040
Blockchain,0
Marketing or sales professional,0
Security professional,143040
